5712d857-4a9f-4caa-a1ae-bceb7f00e6fb,6d580f9c-65f1-4d53-add8-9d132b3c8af3,KOTA ADM. JAKARTA PUSAT,KOTA ADM. JAKARTA PUSAT
f8666220-8593-4dc3-bdc6-d4b8c092c188,6d580f9c-65f1-4d53-add8-9d132b3c8af3,KOTA ADM. JAKARTA BARAT,KOTA ADM. JAKARTA BARAT
ed6b2e7f-0f4c-4cd8-83b0-5f7d97814cc2,6d580f9c-65f1-4d53-add8-9d132b3c8af3,KOTA ADM. JAKARTA SELATAN,KOTA ADM. JAKARTA SELATAN
bb1d1656-d9c3-4a4b-b4f4-5e68ba7a1529,6d580f9c-65f1-4d53-add8-9d132b3c8af3,KOTA ADM. JAKARTA TIMUR,KOTA ADM. JAKARTA TIMUR
6c884611-3d90-4c50-b23d-8955212f9f5e,6d580f9c-65f1-4d53-add8-9d132b3c8af3,KOTA ADM. JAKARTA UTARA,KOTA ADM. JAKARTA UTARA
79a5fc21-eb1f-4a5b-9b1c-ca5288dd199d,6d580f9c-65f1-4d53-add8-9d132b3c8af3,KAB. ADM. KEP. SERIBU,KAB. ADM. KEP. SERIBU
7925a56c-3322-44b5-baed-6f47977f7e91,7c3abddf-f985-4138-8cf8-5e0471d5fbfa,KOTA TANGERANG,KOTA TANGERANG
cc705e0f-7980-4372-8f0e-8f0d630d32ef,7c3abddf-f985-4138-8cf8-5e0471d5fbfa,KAB. TANGERANG,KAB. TANGERANG
9aa31ed9-7e83-4631-8eab-8a0741facd8e,7c3abddf-f985-4138-8cf8-5e0471d5fbfa,KOTA TANGERANG SELATAN,KOTA TANGERANG SELATAN
d54c9858-0f7b-4605-b273-ee609d4e722a,0e31c03c-7f72-4f89-a09e-0c08f66bbb83,KOTA BOGOR,KOTA BOGOR
7747226f-adbb-47f1-9fd1-719ba1730e0e,0e31c03c-7f72-4f89-a09e-0c08f66bbb83,KAB. BOGOR,KAB. BOGOR
94f8ad4d-5597-41a3-828e-8f5aac7ba857,0e31c03c-7f72-4f89-a09e-0c08f66bbb83,KOTA DEPOK,KOTA DEPOK
11612a00-e2c7-46b5-b5e1-ca38cc85b110,0e31c03c-7f72-4f89-a09e-0c08f66bbb83,KOTA BEKASI,KOTA BEKASI
b85b140d-50d7-449a-b8ba-88732a8e9cc0,0e31c03c-7f72-4f89-a09e-0c08f66bbb83,KAB. BEKASI,KAB. BEKASI
9bb4957f-23a4-4d56-a136-3aaea0e897eb,777720da-a0c4-4efd-923a-2de419880a3c,KOTA MEDAN,KOTA MEDAN
2ed86efd-26b1-4e68-a4b8-a9c65498e030,777720da-a0c4-4efd-923a-2de419880a3c,KAB. DELI SERDANG,KAB. DELI SERDANG
